,Complete,Cycle,E,Random - Random dist e = 0,E,Random - Random dist e = V,E,Random - Random dist e = (complete) * .25,E,Random - Random dist e = (complete) * .5,E,Random - Random dist e = (complete) * .75,E,Random - Random dist e = complete,E,Random - Skewed dist e = 0,E,Random - Skewed dist e = V,E,Random - Skewed dist e = (complete) * .25,E,Random - Skewed dist e = (complete) * .5,E,Random - Skewed dist e = (complete) * .75,E,Random - Skewed dist e = complete,E,Random - Tiered dist e = 0,E,Random - Tiered dist e = V,E,Random - Tiered dist e = (complete) * .25,E,Random - Tiered dist e = (complete) * .5,E,Random - Tiered dist e = (complete) * .75,E,Random - Tiered dist e = complete
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,e = 0,e = v,25% density,50% density,75% density,100% density,,,,,,,,
4,0,1,,4,4,20,,4,1,7,,4,3,13,,4,4,11,,4,6,41,,4,1,20,7,13,11,41,,,,,,,,
8,0,0,,8,8,14,,8,7,13,,8,14,25,,8,21,48,,8,28,125,,8,0,14,13,25,48,125,,,,,,,,
16,0,1,,16,16,33,,16,30,40,,16,60,64,,16,90,134,,16,120,704,,16,1,33,40,64,134,704,,,,,,,,
32,0,2,,32,32,199,,32,124,286,,32,248,538,,32,372,982,,32,496,6062,,32,2,199,286,538,982,6062,,,,,,,,
64,0,1,,64,64,376,,64,504,622,,64,1008,1234,,64,1512,3546,,64,2016,30014,,64,1,376,622,1234,3546,30014,,,,,,,,
128,0,3,,128,128,1400,,128,2032,3014,,128,4064,8250,,128,6096,36428,,128,8128,284843,,128,3,1400,3014,8250,36428,284843,,,,,,,,
256,0,5,,256,256,5537,,256,8160,18354,,256,16320,82042,,256,24480,372744,,256,32640,4.94E+06,,256,5,5537,18354,82042,372744,4.94E+06,,,,,,,,
512,0,9,,512,512,22599,,512,32704,168197,,512,65408,1.03E+06,,512,98112,5.56E+06,,512,130816,1.21E+08,,512,9,22599,168197,1.03E+06,5.56E+06,1.21E+08,,,,,,,,
1024,0,19,,1024,1024,110416,,1024,130944,3.02E+06,,1024,261888,2.00E+07,,1024,392832,1.01E+08,,1024,523776,2.06E+09,,1024,19,110416,3.02E+06,2.00E+07,1.01E+08,2.06E+09,,,,,,,,
